[28-05-2015 22:22:33] Contest set to ILSVRC

[28-05-2015 22:22:33] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[28-05-2015 22:22:40] Metadata loaded succesfully!

[28-05-2015 22:22:40] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[28-05-2015 22:22:41] Objects filepaths indexer loaded succesfully!

[28-05-2015 22:22:46] TRAINING
------------------------------
[28-05-2015 22:22:52] iter: 1/3740 | epoch 0/200 | error: 0.995011091232300
[28-05-2015 22:22:59] iter: 2/3740 | epoch 0/200 | error: 0.994959771633148
[28-05-2015 22:23:04] iter: 3/3740 | epoch 0/200 | error: 0.994887828826904
[28-05-2015 22:23:10] iter: 4/3740 | epoch 0/200 | error: 0.994743704795837
[28-05-2015 22:23:16] iter: 5/3740 | epoch 0/200 | error: 0.994452714920044

[28-05-2015 22:23:16] VALIDATING
--------------------------------
[28-05-2015 22:26:27] validation error: 0.995021998882294 accuracy: 0.000000%
[28-05-2015 22:26:28] validation error: 0.995021998882294 accuracy: 0.000000%
[28-05-2015 22:26:30] validation error: 0.995023488998413 accuracy: 0.000000%
[28-05-2015 22:26:31] validation error: 0.995025098323822 accuracy: 0.000000%
[28-05-2015 22:26:33] validation error: 0.995025753974915 accuracy: 0.000000%
[28-05-2015 22:26:34] validation error: 0.995026290416718 accuracy: 0.000000%
[28-05-2015 22:26:36] validation error: 0.995022773742676 accuracy: 0.000000%
[28-05-2015 22:26:37] validation error: 0.995018184185028 accuracy: 0.000000%
[28-05-2015 22:26:38] validation error: 0.995015621185303 accuracy: 0.000000%
[28-05-2015 22:26:40] validation error: 0.995014131069183 accuracy: 0.000000%
[28-05-2015 22:26:41] validation error: 0.995014905929565 accuracy: 0.000000%
[28-05-2015 22:26:42] validation error: 0.995017528533936 accuracy: 0.000000%
[28-05-2015 22:26:44] validation error: 0.995019078254700 accuracy: 0.000000%
[28-05-2015 22:26:45] validation error: 0.995019078254700 accuracy: 0.000000%
[28-05-2015 22:26:47] validation error: 0.995019853115082 accuracy: 0.000000%
[28-05-2015 22:26:48] validation error: 0.995023190975189 accuracy: 0.000000%
[28-05-2015 22:26:50] validation error: 0.995026946067810 accuracy: 0.000000%
[28-05-2015 22:26:51] validation error: 0.995037138462067 accuracy: 0.000000%
[28-05-2015 22:26:53] validation error: 0.995047092437744 accuracy: 0.000000%
[28-05-2015 22:26:54] validation error: 0.995052337646484 accuracy: 0.000000%
[28-05-2015 22:26:56] validation error: 0.995056450366974 accuracy: 0.000000%
[28-05-2015 22:26:57] validation error: 0.995064020156860 accuracy: 0.000000%
[28-05-2015 22:26:58] validation error: 0.995074450969696 accuracy: 0.000000%
[28-05-2015 22:27:00] validation error: 0.995079100131989 accuracy: 0.000000%
[28-05-2015 22:27:01] validation error: 0.995072484016418 accuracy: 0.000000%
[28-05-2015 22:27:03] validation error: 0.995066881179810 accuracy: 0.000000%
[28-05-2015 22:27:04] validation error: 0.995072364807129 accuracy: 0.000000%
[28-05-2015 22:27:06] validation error: 0.995077967643738 accuracy: 0.000000%
[28-05-2015 22:27:07] validation error: 0.995081126689911 accuracy: 0.000000%
[28-05-2015 22:27:09] validation error: 0.995083510875702 accuracy: 0.000000%
[28-05-2015 22:27:10] validation error: 0.995087385177612 accuracy: 0.000000%
[28-05-2015 22:27:12] validation error: 0.995093703269958 accuracy: 0.000000%
[28-05-2015 22:27:13] validation error: 0.995100200176239 accuracy: 0.000000%
[28-05-2015 22:27:14] validation error: 0.995111227035522 accuracy: 0.000000%
[28-05-2015 22:27:16] validation error: 0.995122373104095 accuracy: 0.000000%
[28-05-2015 22:27:17] validation error: 0.995124697685242 accuracy: 0.000000%
[28-05-2015 22:27:19] validation error: 0.995122730731964 accuracy: 0.000000%
[28-05-2015 22:27:20] validation error: 0.995124578475952 accuracy: 0.000000%
[28-05-2015 22:27:22] validation error: 0.995136022567749 accuracy: 0.000000%
[28-05-2015 22:27:23] validation error: 0.995147347450256 accuracy: 0.000000%
[28-05-2015 22:27:25] validation error: 0.995151042938232 accuracy: 0.000000%
[28-05-2015 22:27:26] validation error: 0.995153486728668 accuracy: 0.000000%
[28-05-2015 22:27:28] validation error: 0.995157480239868 accuracy: 0.000000%
[28-05-2015 22:27:29] validation error: 0.995163917541504 accuracy: 0.000000%
[28-05-2015 22:27:30] validation error: 0.995170176029205 accuracy: 0.000000%
[28-05-2015 22:27:32] validation error: 0.995167493820190 accuracy: 0.000000%
[28-05-2015 22:27:33] validation error: 0.995164513587952 accuracy: 0.000000%
[28-05-2015 22:27:35] validation error: 0.995161771774292 accuracy: 0.000000%
[28-05-2015 22:27:36] validation error: 0.995159387588501 accuracy: 0.000000%
[28-05-2015 22:27:38] validation error: 0.995156943798065 accuracy: 0.000000%
[28-05-2015 22:27:39] validation error: 0.995163619518280 accuracy: 0.000000%
[28-05-2015 22:27:41] validation error: 0.995170891284943 accuracy: 0.000000%
[28-05-2015 22:27:42] validation error: 0.995175182819366 accuracy: 0.000000%
[28-05-2015 22:27:44] validation error: 0.995175123214722 accuracy: 0.000000%
[28-05-2015 22:27:45] validation error: 0.995175004005432 accuracy: 0.000000%
[28-05-2015 22:27:47] validation error: 0.995177507400513 accuracy: 0.000000%
[28-05-2015 22:27:48] validation error: 0.995180606842041 accuracy: 0.000000%
[28-05-2015 22:27:49] validation error: 0.995182037353516 accuracy: 0.000000%
